id,data,label
29,"Sur la #santé, il faut d’abord que le service public de santé soit à 30 minutes maximum de chaque citoyennes et citoyens.Mais il faut surtout une politique de santé publique.https://t.co/lqrgDZ7uRn",
30,"Le #Cyberharcelement a des conséquences dramatiques lorsqu’il frappe. Quand j'étais ministre, j'ai introduit des discussions avec les GAFA pour la levée de l'anonymat et pour le droit à l'oubli.Il faut protéger nos citoyennes et citoyens !https://t.co/NUiMDL8v5o",numerique
31,"Les éléments dont nous disposons prouvent que manifestement il y a en Chine un génocide sur le peuple #Ouïghours. La France doit prendre des positions claires et formelles.Sinon, nous devenons complices !https://t.co/dRzZfrmwXm",international
32,"Je veux également accompagner ce dispositif d'une création de 5 nouveaux établissements universitaires, dans des villes moyennes, avec 15 000 places chacun.",
33,"Nous avons déjà plusieurs signaux qui nous montrent que #ParcourSup ne fonctionne pas. Je veux l’évaluer réellement, grâce à des indicateurs.Et s’il est confirmé que celui-ci ne convient pas, alors je créerai un autre dispositif, efficace et transparent.https://t.co/8DwLDT0EEl",numerique
34,"Il serait facile de vous dire qu'il faut baisser le droit de vote à 16 ans, mais je n'y suis pas favorable. Si nous baissons la majorité civique, nous entraînons une baisse de la responsabilité pénale.Émanciper la jeunesse mais ne pas la mettre en danger.https://t.co/daDmd2HkmP",juridique
35,"Si je dois retenir une mesure phare pour la jeunesse, c’est celle à destination des 80 000 décrocheurs. Je voudrais que nous leur donnions une nouvelle chance.La priorité est de réparer les injustices et les inégalités.https://t.co/KZmo8wDQwB",
36,🔴 Retrouvez-moi à 14h30 sur @franceinter avec @cheminsdavenirs. Je répondrai aux questions de 100 jeunes dans #Elysée2022.Pour suivre le direct 👉 https://t.co/vDOJqHO7pt https://t.co/pXH48E9S6G,autre
37,La Russie choisit la force et le fait accompli. Nous faisons face à un péril grave. La solidarité des États européens avec l’Ukraine ne doit pas faillir. Même si la diplomatie doit continuer d’œuvrer.ChT#Russie #Ukraine,international
38,"Mesdames les élues, messieurs les élus, https://t.co/x3ylN6hAfS",
39,Retrouvons-nous dimanche à Rennes à l'occasion d'un rassemblement citoyen. Venez nombreuses et nombreux ! https://t.co/M3PNo4kfkl,autre
40,N’oublions pas que l’extrême-droite tue. N’oublions pas que le racisme tue. Le combat continue et nous allons le gagner !,autre
41,"Nous étions le mardi 21 février 1995. Ibrahim Ali était assassiné avenue des Aygalades dans le 15e arrondissement de Marseille. Assassiné par le racisme, assassiné par l’ignorance et la bêtise, assassiné par l’extrême-droite. https://t.co/ItewWk7rmO",culture
42,"« Avant la retraite », au théâtre St Martin. Un retour, par des mots ordinaires, de l’horreur criminelle, meurtrière et tranquille. Terrifiant d’actualité. Sublime trio sur scène. Ce serait tellement bien si nous recommencions à remplir les salles de théâtre. ChT",culture
43,"Madame Pécresse a fait sauter la digue entre la droite républicaine et l’extrême-droite. Elle s’est appropriée leurs termes et leurs concepts, c’est extrêmement dangereux et il faut le combattre fermement. Je vais me battre et nous allons nous battre sans relâche !",autre
44,"Le grand remplacement est une chimère cynique. La réalité du pays, c’est le grand renoncement. Le renoncement aux droits, à la santé, aux prestations sociales. Et le grand renoncement ultime : celui d'exercer sa citoyenneté en refusant d’aller voter. https://t.co/tiTSIzJaia",
45,"Or, j'ai constaté sur le terrain que les gens veulent que l'on se batte contre la puissance, la force du discours d’extrême-droite et le danger qu’il représente pour notre pays. Je veux me battre pied à pied.",
46,Monsieur Zemmour a refusé de débattre. Ma position personnelle et même éthique était de ne pas débattre avec ces gens-là pour ne  pas contribuer à banaliser et légitimer ces idées. #BFMpolitique,delete
47,"La question du partage de l’espace public est une question importante. Je pense qu’il faut envisager, notamment le dimanche où beaucoup de gens se baladent, que la #chasse ne puisse pas se faire à ce moment là.",
48,"Cela me choque que l’on puisse traiter les accidents de #chasse comme une simple affaire de statistiques. 8 morts en 2021, c’est 8 morts de trop. #BFMpolitique",securite
49,🔴 Retrouvez-moi à 12h sur @BFMTV avec Jean-Baptiste Boursier #BFMPolitique https://t.co/MAzoHNWjEO,delete
50,"Un grand merci à Leona, Aurore, Pierre, Fabi, Suka, Ayodele, Lotfi, Nina, Chloé, Colin et Capucine qui ont déployé une belle énergie toute l’après-midi en allant à la rencontre des habitants du 77 ☀️ https://t.co/7kRkZSEQ22",
51,"Cette campagne ne dépend ni de fortunes, ni de puissants, ni d'aucun groupe d’intérêt. Cette campagne repose sur une force considérable : VOUS ! Je vous propose donc d'additionner vos efforts pour ne pas renoncer à cette élection. Participez au financement de la campagne 👇",autre
52,"Mes mesures pour plus de justice sociale et fiscale → https://t.co/njKAM1ynyN Le premier acte de mon quinquennat sera une revalorisation générale des bas salaires et bien entendu du SMIC, à hauteur de 1400€ net.#AvecTaubira ☀️ https://t.co/cxBANpECkY",justice
53,"L’hôpital public s’effondre.Depuis 20 ans, il subit une logique comptable et des fermetures de lits sans fin.Je veux y créer 100 000 postes en cinq ans.Pour la #Sante → https://t.co/8OWTkMfyuy#AvecTaubira☀️ #HopitalPublic https://t.co/VqxKD00kxD",
54,"Je le dis et le répète : l'écologie est l'#AffaireDuSiècle.→ https://t.co/9NgaoPCQVUPour une France🇫🇷 tournée vers l'avenir, respectueuse de l'environnement, de la biodiversité et de la justice sociale.#AvecTaubira ☀️ https://t.co/BpT4ld86Q7",ecologie
55,Nos combats.→ Les 5 axes fondamentaux que nous portons ensemble pour penser et transformer la France 🇫🇷 #AvecTaubirahttps://t.co/9NgaoPCQVU https://t.co/bwz1EVYMmA,delete
56,Nous leur devons tant. C'est pourquoi je souhaite organiser des états généraux des métiers du soin : https://t.co/2mA31vewsy,
57,"Les professionnels du #Handicap sont en grande difficulté. Ces mêmes professionnels qui avaient été exclus de la prime #Ségur 1, comme un symbole, comme un miroir du respect que le Gouvernement leur accorde. #AvecTaubira",aide sociale
58,Aider les #aidants. https://t.co/QRzG1lo3tp,delete
59,"Comment parler de #Handicap sans parler des #aidants ? La société doit aux proches un accompagnement à la hauteur des besoins. Je veux créer un véritable statut des aidants : répit, droits aux congés, maintien de la protection sociale…",
60,"Je souhaite déconjugaliser l’allocation aux adultes handicapés #AAH. Cette allocation est un droit attaché à l’individu, les revenus du/de la conjoint.e ne doivent pas être pris en compte. Cette réforme est indispensable. #AvecTaubira https://t.co/ZmHRQu4eM5",aide sociale
61,🔴 Retrouvez-moi ce soir à 21h dans l’émission #BACKSEAT animée par @JeanMassiet avec @SashaBeckermann @ChamboncelLea et @UsulduFuturPour suivre l'émission👇,delete
62,"Je veux que chaque enfant puisse être accompagné en fonction de ses besoins, à l’école ou en structure spécialisée. Mais je veux que tous les enfants relèvent de l’Education nationale. https://t.co/obAUxrhm6L",
63,"Aujourd’hui, je me déplace sur le thème du #Handicap. Contrairement à d’autres, je ne pense pas qu’il faut séparer les enfants en situation de handicap des autres enfants. #AvecTaubira",aide sociale
64,12 millions de personnes sont en situation de #Handicap dans notre pays. Nous sommes tous concernés. Leurs parcours sont encore trop marqués par une mise à l’écart. Nous leur devons un vrai droit à la compensation. #AvecTaubira https://t.co/wv6mCwFA6d,aide sociale
65,"Chaque jeune ne part pas avec le même capital de vie. Je propose qu'un capital projet de 20 000€ soit accordé à ces jeunes qui souhaitent créer une activité. Investissons dans notre jeunesse, investissons dans notre avenir !👉 https://t.co/ULLAAAkoiu#AvecTaubira https://t.co/5fnF9UbHOI",
66,"Nous devons assurer des services publics de même qualité, partout sur le territoire. Je créerai une cour d’équité territoriale qui devra vérifier que les services publics correspondent bien aux besoins de toutes et tous.👉https://t.co/cdXdES7zsO#AvecTaubira https://t.co/b1zPtlWmdv",securite
67,"Toujours à Saint-Denis, la Maison des femmes créée par @GhadaHatem13 .  Accueil de femmes et d’enfants victimes de violences. Ici les femmes font, vont, viennent, agissent, guérissent. Défi et prouesses. Une mission de service public, bien accompagnée par @BONTINCKKaty ChT https://t.co/qgAM9IjuoH",aide sociale
68,"Pour mettre fin aux violences sexistes et sexuelles, l'éducation est la solution.Je souhaite, dès l’école primaire, la mise en place de sessions de sensibilisation aux violences sexistes et sexuelles.👉Retrouvez mes propositions : https://t.co/mmkLXHIUsf#AvecTaubira https://t.co/g9OwhqPo60",
69,"Une immense gratitude à l’équipe mobile de soins palliatifs  qui, depuis 2 ans de pandémie a tenu le choc en réa covid, en faisant face à des situations extrêmes, notamment les décès de jeunes femmes enceintes. Quel trésor avons-nous avec ces personnels (que nous négligeons)!ChT",aide sociale
70,La tribune d’Isabelle Marin nous attrape par la peau de la nuque. Elle nous interdit d’aller vite au but. Nous force à élever et élargir nos ambitions et nos obligations. Nous retourne les poches de veste-aux-idéaux. À nous de concilierChThttps://t.co/cxqW0nFdiA,culture
71,"En visite ce matin à l’hôpital Delafontaine, je rends un hommage appuyé aux médecins et personnels paramédicaux de l’unité de soins palliatifs. Un environnement  de respect, d’écoute, et d’attention à l’autre, une équipe exemplaire de clarté, d’exigence, de sensibilitéChT https://t.co/JW0HwX4bds",
72,Ma candidature a commencé à l'initiative de 100 000 citoyens qui se sont retrouvés et ont travaillé ensemble. Ils luttent aujourd’hui pour ouvrir la voie démocratique et je lutte avec eux. Merci à vous !Vous aussi rejoignez-nous : https://t.co/6lsbDS5Mz8☀ #AvecTaubira,emploi
73,"Ceux qui critiquent ma vision de la laïcité, ne se battent pas tous les jours pour notre école laïque. Car c'est ça que permet la laïcité : former tous les citoyens, pour faire face à tous les déterminismes. Je me bats et continuerai de me battre pour la promesse républicaine.",education
74,"Dans les médias, dans l’édition, ce groupe occupe le débat public et valorise des discours de haine, de violence et d’exclusion.J’apporte mon entier soutien au collectif qui se bat pour une information plurielle et libre. #stopbolloré https://t.co/S3g3CAIbIN",
75,Vous n’allez pas vous débiner ? https://t.co/nJXhFf1G3a,autre
76,"💬 La droite républicaine a perdu tous ses repères, les idées défendues par @vpecresse sont très inquiétantes. 🔴 #RuthElkrief2022 avec @ruthelkrief sur @LCI https://t.co/DNzwIZDTy0",delete
77,"💬 Je n’ai pas fait le deuil d'une action de la gauche pour soulager les personnes qui sont en difficulté, je n'ai pas fait le deuil de relever les bas salaires, je n’ai pas fait le deuil des luttes contre les discriminations.🔴 #RuthElkrief2022 avec @ruthelkrief sur @LCI https://t.co/z6l8fH5Ps3",
78,"💬 Il y a près d’un demi-million de personnes qui ont voté à la #PrimairePopulaire, il y aurait un vrai sujet démocratique si une campagne qui repose sur un tel socle n’arrive pas à se faire.🔴 #RuthElkrief2022 avec @ruthelkrief sur @LCI https://t.co/DOhXuBJiKk",autre
79,"📣Je serai ce soir l'invitée de @ruthelkrief sur @LCI, à 20h30☀#AvecTaubira https://t.co/rjRbzFmIbi",delete
80,Je veux vaincre les prédicateurs de haine !Retrouvez ma déclaration à Créteil. 👉 https://t.co/cdXdESpaRo ☀ #AvecTaubira,
81,Nous devons rétablir la justice écologique. Retrouvez mes propositions 👉 https://t.co/71xZQfI2WX #AvecTaubira https://t.co/3oJDcfo1U0,ecologie
82,"Les immenses fortunes sont très faiblement imposées alors qu’elles ont explosé sous ce quinquennat. Je veux créer un impôt sur l’extrême richesse qui imposera des patrimoines qui, depuis des décennies, échappent à l’impôt. Mes propositions 👉 https://t.co/sWqHWr3C40#AvecTaubira https://t.co/re5QrNVgYS",pouvoir achat
83,"Mes adversaires : ces ennemis de l’égalité, de la citoyenneté républicaine, de la cohésion ; cette extrême droite peureuse qui ne pense qu’à exclure J’entends la combattre sans répit. Ma force : ce mouvement citoyen puissant et généreuxChT",
84,"Je ne lâcherai pas celles et ceux qui ont tant besoin de justice et d’espoir, et que les brinquebalements à gauche plongent dans le découragement. Je me battrai sans relâche.",justice
85,"Les citoyens ont leurs initiatives. Ils sont l’avenir des forces de gauche, les manœuvres d’appareil sont le passé. Je ne contribuerai pas à aggraver la désespérance et la fureur qui courent dans le pays.",autre
86,"Prenez le pour ce que c’est : une péripétie dans un moment crucial pour le pays. Les partis ont leur vie et leurs mérites. Ils ont leurs limites, leur agenda n’est pas le mien.",
87,"Ces concepts frelatés étaient ceux de quelques idéologues obscurs, ils ont désormais gagné la bataille culturelle à droite. Chaque jour de cette campagne nous allons les traquer et les combattre. Je ne leur laisserai aucun répit. ChT",autre
88,"Je veux être la candidate de la fierté retrouvée de celles et ceux qui, meeting après meeting, sont insultés, exclus de la communauté nationale par des froussards et des ignorants de l’Histoire de France.",culture
89,"Hier Valérie Pécresse et la droite ont usurpé leur nom, franchi la dernière limite. Le bloc d’extrême droite comprend désormais trois candidats. Il est aux portes du pouvoir.",
90,"Cette campagne ne dépend ni de fortunes, ni de puissants, ni d'aucun groupe d’intérêt. Cette campagne repose sur une force considérable, VOUS ! Je vous propose donc d'additionner vos efforts pour ne pas renoncer à cette élection.Donner pour la campagne 👉 https://t.co/6lsbDRObHA https://t.co/wIzrNtZ2GN",autre
91,9 milliards supplémentaires de dividendes distribués : c’est le cumul du budget des hôpitaux de Paris et de Marseille réunis.J’y mettrai fin.👉Retrouvez mes propositions pour la justice sociale : https://t.co/2z5hU4mf0D https://t.co/H9rtZ0lmm7,delete
92,"Quand je suis devant vous, je vois LE visage de la République, parce que nous sommes chacun une parcelle de son tout ! ☀#CréteilAvecTaubira #AvecTaubira https://t.co/9feCK9FE5b",
93,Oui. Je veux porter le droit de mourir dans la dignité. Retrouvez mon interview complète dans @leparisien_pol ⤵️ https://t.co/lHobIvHuBX,autre
94,"Nous sommes tous soumis aux lois de la République, c'est ça la laïcité.#dimpol https://t.co/Yj8woUEsdG",
95,Plus largement la question du #pouvoirdachat est une question du pouvoir de vivre. C'est pourquoi je propose une conférence sur les salaires.👉Retrouvez mes propositions pour la justice sociale : https://t.co/njKAM1ynyN https://t.co/8fXEniU75Y,
96,Retrouvez moi dans quelques instants sur @DimPolitique sur @france3tv ⤵️ https://t.co/PYXCyK9yKU,autre
97,"Mireille Delmas-Marty s’est retirée. Partie avec son intelligence aiguë, élégante, son rire qui parfois restait suspendu. J’avais pris l’habitude confortable et respectueuse de notre amitié, nos échanges passionnés, son regard exigeant sur le monde, ses projets, son optimismeChT",culture
98,"""Celle qui chante en moi la belle, la rebelle, Ma France."" 🎶Merci ! Merci à vous d'être venus si nombreux et nombreuses à #Créteil. Votre énergie me porte ! #CréteilAvecTaubira #AvecTaubira https://t.co/eO1oGIX6Fy",
99,"On en a assez du sexisme, nous le disons haut et fort ! Nous le disons à un certain ministre qui a osé répondre à @apollineWakeUp de se calmer. On en a assez ! On va mettre un vrai milliard sur la table, pas le milliard d'esbroufe du gouvernement. #CréteilAvecTaubira #AvecTaubira https://t.co/z7hGQv4jYE",justice
100,"Avec vous à #Créteil, pas d'invité indésirable.#AvecTaubira https://t.co/ttNKF4tDaP",delete
101,"J'ai un tel niveau d'exigence de la construction européenne, que la Constitution de 2005 ne me paraissait pas acceptable. Voici pourquoi ↓#CréteilAvecTaubira #AvecTaubira https://t.co/V7vhLVtyp6",
102,"""Le grand ruissellement""Nous allons y mettre un terme.#CréteilAvecTaubira #AvecTaubira https://t.co/6J1LG4UGc3",autre
103,"Nous allons lutter contre toutes les discriminations. TOUTES.Nous voulons une société d'égalité, de solidarité et de respect de chacune et de chacun.#CréteilAvecTaubira #AvecTaubira https://t.co/cmurkTQUQk",liberte
104,"Ils sont comme ça. Tous les 5 ans, ils ont un problème avec la fonction publique.Qu’est-ce que les fonctionnaires leur ont fait ?→ Nous allons créer 200 000 postes dans la fonction publique.#CréteilAvecTaubira #AvecTaubira https://t.co/gAX8nHzoJI",
105,L'Europe que nous voulons.#CréteilAvecTaubira #AvecTaubira https://t.co/nN5ImoC9gj,international
106,"La transition écologique et solidaire est une politique de justice sociale. Parce qu'il est plus juste que ceux qui polluent le moins et qui subissent le plus, soient protégés. #CréteilAvecTaubira #AvecTaubira #Ecologie https://t.co/JnsKXCrht7",ecologie
107,"On a refusé un pognon de dingue pour les pauvres. On a donné ""quoi qu'il en coûte""... qui est bien allé dans les dividendes.À toutes celles et ceux qui continuent à se battre.#CréteilAvecTaubira #AvecTaubira https://t.co/NQdr8t4aIK",
108,Que la culture et les arts soient à la portée de tous.N'ayons aucune crainte face à l'avenir.#CréteilAvecTaubira #AvecTaubira https://t.co/o40JxaxWmC,culture
109,À la jeunesse ↓#CréteilAvecTaubira #AvecTaubira https://t.co/Q90iWvULSs,delete
110,"Une deuxième et si nécessaire, une troisième chance.Parce que cette jeunesse, elle fait partie de notre avenir.Nous nous donnerons les moyens de les accompagner en respect de leur dignité.#CréteilAvecTaubira #AvecTaubira https://t.co/lLaACYzxyA",
111,"C'est la laïcité qui fait craquer tous les enfermements.C'est elle qui enseigne que nous devons nous méfier des dogmes, des préceptes, des certitudes aussi. C'est elle qui nous enseigne à développer l'esprit critique.Elle émancipe et protège. #CréteilAvecTaubira #AvecTaubira https://t.co/9rCRr58zVN",autre
112,🔴 Suivez en direct la réunion publique de Christiane Taubira à Créteil !  ☀ #AvecTaubira https://t.co/A6cpjry8nh,delete
113,H-1 ! J’espère vous voir nombreux et nombreuses à #Créteil autour des sujets qui nous unissent ! 📲Suivez le live en direct : https://t.co/4sJtZcr7OX☀ #AvecTaubira https://t.co/eyGUSXyK9h,
114,📣Rendez-vous tout à l’heure pour une réunion publique. Joignons nos forces pour faire exister les valeurs qui nous animent ! ⏰À 15h📍#Créteil (salle Georges Duhamel)Toutes les infos : https://t.co/wBOk8Fq1YF☀ #AvecTaubira https://t.co/lF8xSKw3B6,autre
115,"Lutter contre le réchauffement climatique, c'est aussi se tourner vers des mobilités douces comme le vélo. Je propose un fonds vélo de 500 millions d'euros pour soutenir les investissements des collectivités dans ce domaine. Toutes mes propositions 👉 https://t.co/VdFPYIT9XI https://t.co/6crz4b4ZFU",ecologie
116,L'achat d'un véhicule électrique doit être possible. Il est insupportable d'ajouter à l'injustice sociale de l'injustice écologique. Nous doublerons le bonus écologique pour l'achat d'un véhicule propre pour les familles modestes. Mes propositions 👉 https://t.co/VdFPYIT9XI https://t.co/jMprXV5h7Y,
117,Les voitures thermiques neuves ne seront plus autorisées à la vente d'ici 2030. Cette étape vers la neutralité carbone sera un des grands tournants de notre transition #écologique ! Toutes mes propositions 👉 https://t.co/VdFPYIT9XI https://t.co/IzSLkylebh,ecologie
118,"Hommage à Hervé Neau, maire de Rézé, qui vient de nous quitter. Je pense fortement à lui, à son épouse, à ses enfants. Mes pensées vont aussi aux Rezéennes et Rezéens que cette disparition brutale bouleverse. ChT",culture
119,"Pour réussir la transition écologique, nous devons entamer une politique de rénovation thermique des logements. Ce sera ma priorité et nous aiderons les foyers les plus modestes avec une prise en charge à 80%. Toutes mes propositions 👉 https://t.co/ToWkL1SaAb https://t.co/XtVSC6VgyK",
120,RAPPEL : rendez-vous ce samedi 12 février à 15h à Créteil (salle Georges Duhamel) pour une réunion publique. Joignons nos forces pour faire exister les valeurs qui nous animent ! Plus d'informations sur : https://t.co/wBOk8Fq1YF #avectaubira https://t.co/bQqw383KUM,autre
121,"Je propose de réformer la fiscalité afin de la rendre plus juste, en créant un impôt sur l’extrême richesse pour les patrimoines qui aujourd'hui échappent à l’impôt. (4/4) https://t.co/sWqHWrlcVy",pouvoir achat
122,"Résultat, en 2021, pendant que des milliers de Français faisaient la queue aux banques alimentaires, la fortune des milliardaires français a augmenté de 34%. (3/4) #MerciMacron",
123,"Les réformes fiscales de Macron, c'est cash chaque année 9 milliards de plus de dividendes, l’équivalent du budget de tous les hôpitaux de Paris et de Marseille réunis. (2/4) #MerciMacron",pouvoir achat
124,"Contrairement à ce qui a été promis par @BrunoLeMaire  les aides apportées par l'État aux grandes entreprises n'ont fait l'objet d'aucune contrepartie. Pire, les réformes qui ont suivi n'ont bénéficié qu'aux ultra-riches. (1/4) #MerciMacron https://t.co/j19kqvoW3V",emploi
125,"Notre campagne s’appuie largement sur des équipes bénévoles, l’initiative et l’énergie citoyenne et populaire. Rejoignez et soutenez la campagne 👇https://t.co/6lsbDS5Mz8",
126,"@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot Concernant l'interdiction de l'exploitation minière des grands fonds marins, j'y suis favorable.Tous ces sujets sont cruciaux. Je l’ai dit, la lutte contre le dérèglement climatique est l’affaire de ce siècle. Je vous propose une rencontre pour poursuivre l'échange.",ecologie
127,@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot ➡️ Inscription dans le code pénal du crime d’écocide pour les hydrocarbures ;➡️ Contrôle drastique de l’interdiction de la pêche en eaux profondes ;➡️ Extinction progressive des emballages plastiques.,ecologie
128,"@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot La France, étant la 2e puissance maritime du monde, porte une forte responsabilité pour l’éducation au respect des océans, la prise de conscience de leur fragilité et la limitation drastique de la surpêche et de leur pollution. À ce titre je porte 3 propositions :",
129,"@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot Concernant la protection des océans, effectivement la protection de la #Biodiversité est un grand défi que nous ne devons pas sous-estimer mais qui malheureusement est souvent oublié.",ecologie
130,@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot ➡️ Taxe sur les gros dividendes ;➡️ Impôt sur l'extrême richesse au-delà de 10 millions € ;➡️ Taxe sur les assurances des véhicules les plus polluants ;➡️ Taxe européenne sur les spéculation (rénovation thermique).,pouvoir achat
131,"@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot La France est devenue un paradis fiscal pour ultra-riches, qui sont dans le même temps les plus gros pollueurs. C’est pourquoi je veux taxer drastiquement l’extrême richesse et porte plusieurs propositions en ce sens :",
132,"@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot Bonjour @Greenpeacefr et merci pour votre message.Vous avez tout à fait raison, ce ne sont pas les Françaises et Français les plus modestes qui sont à l’origine de la majorité des gaz à effet de serre mais ils en subissent quand même, et en premier lieu, les effets délétères.",ecologie
133,Je vous donne rendez-vous ce soir à 18h15 dans #RTLSoir sur @RTLFrance. https://t.co/xRLcIBv4nv,delete
134,"Aujourd’hui, 46% des étudiants sont obligés de travailler pendant leurs études. Nombreux sont ceux qui arrêtent leurs études faute de moyens. Je propose un revenu de 800€ par mois pour les jeunes en formation ou en étude afin qu'ils puissent se concentrer sur leur réussite. https://t.co/lz0LXPJ6dh",
135,"Je veux créer un capital de 20.000€ pour tous les jeunes qui souhaitent créer une activité. Ils sont les innovateurs de demain, soutenons-les ! Retrouvez toutes mes propositions 👇https://t.co/fefHiAmVyj https://t.co/asteKiBj2C",emploi
136,Le #SMIC sera immédiatement revalorisé à 1400€ nets dès mon arrivée aux responsabilités. C'est une mesure urgente qui doit être accompagnée d'une conférence des salaires pour plus de justice sociale !,pouvoir achat
