,id,data,label,data_clean
58,59,"Comment parler de #Handicap sans parler des #aidants ? La société doit aux proches un accompagnement à la hauteur des besoins. Je veux créer un véritable statut des aidants : répit, droits aux congés, maintien de la protection sociale…",aide_sociale,handicap aidants societe accompagnement hauteur besoin vouloir creer veritable statut aidants repit droit conge maintien protection social
59,60,"Je souhaite déconjugaliser l’allocation aux adultes handicapés #AAH. Cette allocation est un droit attaché à l’individu, les revenus du/de la conjoint.e ne doivent pas être pris en compte. Cette réforme est indispensable. #AvecTaubira https://t.co/ZmHRQu4eM5",aide_sociale,souhaiter deconjugaliser allocation adulte handicape aah allocation droit attache individu revenu conjoint devoir pris compter reformer indispensable
61,62,"Je veux que chaque enfant puisse être accompagné en fonction de ses besoins, à l’école ou en structure spécialisée. Mais je veux que tous les enfants relèvent de l’Education nationale. https://t.co/obAUxrhm6L",education,vouloir enfant pouvoir accompagne fonction besoin ecole structurer specialise vouloir enfant relever education nationale
62,63,"Aujourd’hui, je me déplace sur le thème du #Handicap. Contrairement à d’autres, je ne pense pas qu’il faut séparer les enfants en situation de handicap des autres enfants. #AvecTaubira",aide_sociale,deplacer theme handicap contrairement penser falloir separer enfant situation handicap enfant
63,64,12 millions de personnes sont en situation de #Handicap dans notre pays. Nous sommes tous concernés. Leurs parcours sont encore trop marqués par une mise à l’écart. Nous leur devons un vrai droit à la compensation. #AvecTaubira https://t.co/wv6mCwFA6d,aide_sociale,million personnes situation handicap pays concerner parcours trop marque miser ecart devon vrai droit compensation
64,65,"Chaque jeune ne part pas avec le même capital de vie. Je propose qu'un capital projet de 20 000€ soit accordé à ces jeunes qui souhaitent créer une activité. Investissons dans notre jeunesse, investissons dans notre avenir !👉 https://t.co/ULLAAAkoiu#AvecTaubira https://t.co/5fnF9UbHOI",education,jeune partir capital vie proposer capital projet accorde jeune souhaiter creer activite investir jeunesse investir avenir
65,66,"Nous devons assurer des services publics de même qualité, partout sur le territoire. Je créerai une cour d’équité territoriale qui devra vérifier que les services publics correspondent bien aux besoins de toutes et tous.👉https://t.co/cdXdES7zsO#AvecTaubira https://t.co/b1zPtlWmdv",securite,devon assurer service public qualite partout territoire creer cour equite territorial devoir verifier service public correspondre bien besoin
66,67,"Toujours à Saint-Denis, la Maison des femmes créée par @GhadaHatem13 .  Accueil de femmes et d’enfants victimes de violences. Ici les femmes font, vont, viennent, agissent, guérissent. Défi et prouesses. Une mission de service public, bien accompagnée par @BONTINCKKaty ChT https://t.co/qgAM9IjuoH",aide_sociale,saint denis maison femme creer ghadahatem accueil femme enfant victime violence ici femme faire aller venir agir guerir defi prouesse mission service public bien accompagne bontinckkaty
68,69,"Une immense gratitude à l’équipe mobile de soins palliatifs  qui, depuis 2 ans de pandémie a tenu le choc en réa covid, en faisant face à des situations extrêmes, notamment les décès de jeunes femmes enceintes. Quel trésor avons-nous avec ces personnels (que nous négligeons)!ChT",aide_sociale,immense gratitude equiper mobile soin palliatif pandemie tenu choc reer covid faire face situation extreme deces jeune femme enceinte tresor personnel negliger
69,70,La tribune d’Isabelle Marin nous attrape par la peau de la nuque. Elle nous interdit d’aller vite au but. Nous force à élever et élargir nos ambitions et nos obligations. Nous retourne les poches de veste-aux-idéaux. À nous de concilierChThttps://t.co/cxqW0nFdiA,culture,tribune isabelle marin attraper peau nuque interdit aller vite but forcer elever elargir ambition obligation retourner pocher veste ideal conciliercht
70,71,"En visite ce matin à l’hôpital Delafontaine, je rends un hommage appuyé aux médecins et personnels paramédicaux de l’unité de soins palliatifs. Un environnement  de respect, d’écoute, et d’attention à l’autre, une équipe exemplaire de clarté, d’exigence, de sensibilitéChT https://t.co/JW0HwX4bds",sante,visiter matin hopital delafontaine hommage appuye medecin personnel paramedical unite soin palliatif environnement respect ecouter attention equiper exemplaire clarte exigence sensibilitecht
71,72,Ma candidature a commencé à l'initiative de 100 000 citoyens qui se sont retrouvés et ont travaillé ensemble. Ils luttent aujourd’hui pour ouvrir la voie démocratique et je lutte avec eux. Merci à vous !Vous aussi rejoignez-nous : https://t.co/6lsbDS5Mz8☀ #AvecTaubira,emploi,candidature commencer initiative citoyen retrouver travaille ensemble lutter ouvrir voir democratique lutter rejoindre
72,73,"Ceux qui critiquent ma vision de la laïcité, ne se battent pas tous les jours pour notre école laïque. Car c'est ça que permet la laïcité : former tous les citoyens, pour faire face à tous les déterminismes. Je me bats et continuerai de me battre pour la promesse républicaine.",education,critiquer vision laicite battre jour ecole laique permettre laicite former citoyen faire face determinismes battre continuer battre promesse republicain
73,74,"Dans les médias, dans l’édition, ce groupe occupe le débat public et valorise des discours de haine, de violence et d’exclusion.J’apporte mon entier soutien au collectif qui se bat pour une information plurielle et libre. #stopbolloré https://t.co/S3g3CAIbIN",democratie,media edition grouper occuper debattre public valoriser discours haine violence exclusion apporter entier soutien collectif battre information pluriel libre stopbollore
80,81,Nous devons rétablir la justice écologique. Retrouvez mes propositions 👉 https://t.co/71xZQfI2WX #AvecTaubira https://t.co/3oJDcfo1U0,ecologie,devon retablir justice ecologique retrouver proposition
81,82,"Les immenses fortunes sont très faiblement imposées alors qu’elles ont explosé sous ce quinquennat. Je veux créer un impôt sur l’extrême richesse qui imposera des patrimoines qui, depuis des décennies, échappent à l’impôt. Mes propositions 👉 https://t.co/sWqHWr3C40#AvecTaubira https://t.co/re5QrNVgYS",pouvoir_achat,immense fortune faiblement impose exploser quinquennat vouloir creer impot extreme richesse imposer patrimoine decennie echapper impot proposition
83,84,"Je ne lâcherai pas celles et ceux qui ont tant besoin de justice et d’espoir, et que les brinquebalements à gauche plongent dans le découragement. Je me battrai sans relâche.",democratie,lacher besoin justice espoir brinquebalements gauche plonger decouragement battre relacher
87,88,"Je veux être la candidate de la fierté retrouvée de celles et ceux qui, meeting après meeting, sont insultés, exclus de la communauté nationale par des froussards et des ignorants de l’Histoire de France.",culture,vouloir candidat fierte retrouver meeting meeting insulte exclure communaute nationale froussard ignorant histoire france
96,97,"Mireille Delmas-Marty s’est retirée. Partie avec son intelligence aiguë, élégante, son rire qui parfois restait suspendu. J’avais pris l’habitude confortable et respectueuse de notre amitié, nos échanges passionnés, son regard exigeant sur le monde, ses projets, son optimismeChT",culture,mireille delmas marty retire partir intelligence aigu elegant rire rester suspendu pris habitude confortable respectueux amitie echanger passionne regard exiger monde projet optimismecht
98,99,"On en a assez du sexisme, nous le disons haut et fort ! Nous le disons à un certain ministre qui a osé répondre à @apollineWakeUp de se calmer. On en a assez ! On va mettre un vrai milliard sur la table, pas le milliard d'esbroufe du gouvernement. #CréteilAvecTaubira #AvecTaubira https://t.co/z7hGQv4jYE",democratie,sexisme haut fort ministre ose repondre apollinewakeup calmer mettre vrai milliard tabler milliard esbroufer gouvernement creteilavectaubira
102,103,"Nous allons lutter contre toutes les discriminations. TOUTES.Nous voulons une société d'égalité, de solidarité et de respect de chacune et de chacun.#CréteilAvecTaubira #AvecTaubira https://t.co/cmurkTQUQk",democratie,aller lutter contrer discrimination vouloir societe egalite solidarite respect creteilavectaubira
104,105,L'Europe que nous voulons.#CréteilAvecTaubira #AvecTaubira https://t.co/nN5ImoC9gj,international,europe vouloir creteilavectaubira
105,106,"La transition écologique et solidaire est une politique de justice sociale. Parce qu'il est plus juste que ceux qui polluent le moins et qui subissent le plus, soient protégés. #CréteilAvecTaubira #AvecTaubira #Ecologie https://t.co/JnsKXCrht7",ecologie,transition ecologique solidaire politique justice social polluer subir protege creteilavectaubira ecologie
107,108,Que la culture et les arts soient à la portée de tous.N'ayons aucune crainte face à l'avenir.#CréteilAvecTaubira #AvecTaubira https://t.co/o40JxaxWmC,culture,culture art portee aucune crainte face avenir creteilavectaubira
109,110,"Une deuxième et si nécessaire, une troisième chance.Parce que cette jeunesse, elle fait partie de notre avenir.Nous nous donnerons les moyens de les accompagner en respect de leur dignité.#CréteilAvecTaubira #AvecTaubira https://t.co/lLaACYzxyA",education,deuxieme necessaire troisieme chance jeunesse partir avenir donner moyen accompagner respect dignite creteilavectaubira
114,115,"Lutter contre le réchauffement climatique, c'est aussi se tourner vers des mobilités douces comme le vélo. Je propose un fonds vélo de 500 millions d'euros pour soutenir les investissements des collectivités dans ce domaine. Toutes mes propositions 👉 https://t.co/VdFPYIT9XI https://t.co/6crz4b4ZFU",ecologie,lutter contrer rechauffement climatique tourner mobilites doux velo proposer fonds velo million euro soutenir investissement collectivite domaine proposition
115,116,L'achat d'un véhicule électrique doit être possible. Il est insupportable d'ajouter à l'injustice sociale de l'injustice écologique. Nous doublerons le bonus écologique pour l'achat d'un véhicule propre pour les familles modestes. Mes propositions 👉 https://t.co/VdFPYIT9XI https://t.co/jMprXV5h7Y,ecologie,achat vehiculer electrique insupportable ajouter injustice social injustice ecologique doubler bonus ecologique achat vehiculer propre famille modeste proposition
116,117,Les voitures thermiques neuves ne seront plus autorisées à la vente d'ici 2030. Cette étape vers la neutralité carbone sera un des grands tournants de notre transition #écologique ! Toutes mes propositions 👉 https://t.co/VdFPYIT9XI https://t.co/IzSLkylebh,ecologie,voiturer thermique neuf autorise venter ici etape neutralite carbone grand tournant transition ecologique proposition
117,118,"Hommage à Hervé Neau, maire de Rézé, qui vient de nous quitter. Je pense fortement à lui, à son épouse, à ses enfants. Mes pensées vont aussi aux Rezéennes et Rezéens que cette disparition brutale bouleverse. ChT",culture,hommage herve neau maire reze venir quitter penser fortement luire epoux enfant pensee aller rezeennes rezeens disparition brutal bouleverser
118,119,"Pour réussir la transition écologique, nous devons entamer une politique de rénovation thermique des logements. Ce sera ma priorité et nous aiderons les foyers les plus modestes avec une prise en charge à 80%. Toutes mes propositions 👉 https://t.co/ToWkL1SaAb https://t.co/XtVSC6VgyK",ecologie,reussir transition ecologique devon entamer politique renovation thermique logement priorite aider foyer modeste priser charger proposition
120,121,"Je propose de réformer la fiscalité afin de la rendre plus juste, en créant un impôt sur l’extrême richesse pour les patrimoines qui aujourd'hui échappent à l’impôt. (4/4) https://t.co/sWqHWrlcVy",pouvoir_achat,proposer reformer fiscalite creer impot extreme richesse patrimoine echapper impot
122,123,"Les réformes fiscales de Macron, c'est cash chaque année 9 milliards de plus de dividendes, l’équivalent du budget de tous les hôpitaux de Paris et de Marseille réunis. (2/4) #MerciMacron",pouvoir_achat,reforme fiscal cash annee milliard dividende equivalent budget hopital paris marseille reunir mercimacron
123,124,"Contrairement à ce qui a été promis par @BrunoLeMaire  les aides apportées par l'État aux grandes entreprises n'ont fait l'objet d'aucune contrepartie. Pire, les réformes qui ont suivi n'ont bénéficié qu'aux ultra-riches. (1/4) #MerciMacron https://t.co/j19kqvoW3V",emploi,contrairement promis brunolemaire aider apporter etat grand entreprise objet aucune contrepartie pire reforme beneficier ultra riche mercimacron
125,126,"@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot Concernant l'interdiction de l'exploitation minière des grands fonds marins, j'y suis favorable.Tous ces sujets sont cruciaux. Je l’ai dit, la lutte contre le dérèglement climatique est l’affaire de ce siècle. Je vous propose une rencontre pour poursuivre l'échange.",ecologie,greenpeacefr jlmelenchon anne_hidalgo yjadot concerner interdiction exploitation minier grand fonds marin favorable sujet crucial lutter contrer dereglement climatique affairer siecle proposer rencontrer poursuivre echanger
126,127,@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot ➡️ Inscription dans le code pénal du crime d’écocide pour les hydrocarbures ;➡️ Contrôle drastique de l’interdiction de la pêche en eaux profondes ;➡️ Extinction progressive des emballages plastiques.,ecologie,greenpeacefr jlmelenchon anne_hidalgo yjadot inscription coder penal crime ecocide hydrocarbure controler drastique interdiction pecher eau profond extinction progressif emballage plastique
127,128,"@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot La France, étant la 2e puissance maritime du monde, porte une forte responsabilité pour l’éducation au respect des océans, la prise de conscience de leur fragilité et la limitation drastique de la surpêche et de leur pollution. À ce titre je porte 3 propositions :",ecologie,greenpeacefr jlmelenchon anne_hidalgo yjadot france puissance maritime monde porter forte responsabilite education respect ocean priser conscience fragilite limitation drastique surpeche pollution titrer porter proposition
128,129,"@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot Concernant la protection des océans, effectivement la protection de la #Biodiversité est un grand défi que nous ne devons pas sous-estimer mais qui malheureusement est souvent oublié.",ecologie,greenpeacefr jlmelenchon anne_hidalgo yjadot concerner protection ocean effectivement protection biodiversite grand defi devon estimer malheureusement oublie
129,130,@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot ➡️ Taxe sur les gros dividendes ;➡️ Impôt sur l'extrême richesse au-delà de 10 millions € ;➡️ Taxe sur les assurances des véhicules les plus polluants ;➡️ Taxe européenne sur les spéculation (rénovation thermique).,pouvoir_achat,greenpeacefr jlmelenchon anne_hidalgo yjadot taxer gros dividende impot extreme richesse dela million taxer assurance vehiculer polluant taxer europeen speculation renovation thermique
131,132,"@greenpeacefr @JLMelenchon @Anne_Hidalgo @yjadot Bonjour @Greenpeacefr et merci pour votre message.Vous avez tout à fait raison, ce ne sont pas les Françaises et Français les plus modestes qui sont à l’origine de la majorité des gaz à effet de serre mais ils en subissent quand même, et en premier lieu, les effets délétères.",ecologie,greenpeacefr jlmelenchon anne_hidalgo yjadot bonjour greenpeacefr message raison francais francais modeste origine majorite gaz serrer subir lieu deletere
133,134,"Aujourd’hui, 46% des étudiants sont obligés de travailler pendant leurs études. Nombreux sont ceux qui arrêtent leurs études faute de moyens. Je propose un revenu de 800€ par mois pour les jeunes en formation ou en étude afin qu'ils puissent se concentrer sur leur réussite. https://t.co/lz0LXPJ6dh",education,etudiant oblige travailler pendre etude arreter etude fauter moyen proposer revenu mois jeune formation etude pouvoir concentrer reussite
134,135,"Je veux créer un capital de 20.000€ pour tous les jeunes qui souhaitent créer une activité. Ils sont les innovateurs de demain, soutenons-les ! Retrouvez toutes mes propositions 👇https://t.co/fefHiAmVyj https://t.co/asteKiBj2C",emploi,vouloir creer capital jeune souhaiter creer activite innovateurs demain soutenir retrouver proposition
135,136,Le #SMIC sera immédiatement revalorisé à 1400€ nets dès mon arrivée aux responsabilités. C'est une mesure urgente qui doit être accompagnée d'une conférence des salaires pour plus de justice sociale !,pouvoir_achat,smic immediatement revaloriser net arrivee responsabilite mesurer urgent accompagne conference salaire justice social
137,138,"Partout en France, des gens renoncent parfois au pouvoir de décision sur le choix de nos dirigeants.Chaque jour, ces personnes font l'expérience de leur citoyenneté, qui se vit peut-être plus intensément encore quand, collectivement, on fait l'expérience de la stigmatisation.",democratie,partout france renoncer pouvoir decision choix dirigeant jour personnes faire experience citoyennete voir pouvoir intensement collectivement experience stigmatisation
138,139,"Malgré une fragilisation et une vulnérabilisation de la société, accentuées durant ce quinquennat, les collectivités et les habitants font sur place un travail essentiel et remarquable. Nous devons les accompagner.",emploi,fragilisation vulnerabilisation societe accentue durer quinquennat collectivite habitant faire placer travail essentiel remarquable devon accompagner
140,141,"Les jeunes doivent pouvoir vivre dignement ! Je propose une extension du #RSA aux jeunes sans ressources dès 18 ans. C'est une mesure vitale pour que la jeunesse française puisse être le moteur de notre société, demain.Retrouvez toutes mes propositions 👉https://t.co/fefHiAntnR https://t.co/0LJrIpBa9k",education,jeune devoir pouvoir vivre dignement proposer extension rsa jeune ressource mesurer vital jeunesse francais pouvoir moteur societe demain retrouver proposition
145,146,9⃣ Bien-être animal• Sortie de l’élevage industriel• Interdiction de l’élevage en cage• L’abolition de la chasse à courre • Accélérer la fin des animaux sauvages dans les cirques,democratie,bien animal sortir elevage industriel interdiction elevage cage abolition chasser courre accelerer fin animaux sauvage cirque
146,147,8⃣ Effondrement de la biodiversité→ Le Parlement devra légiférer sur le crime d’écocide afin de l’intégrer dans le Code pénal.,ecologie,effondrement biodiversite parlement devoir legiferer crime ecocide integrer coder penal
147,148,7⃣ International | Création d’une taxation européenne sur la spéculation et une banque européenne pour le climat. #Europe,international,international creation taxation europeen speculation banque europeen climat europe
149,150,5⃣Augmentation des tarifs autoroutiers pour les véhicules les plus polluants→ Exemple : SUV non électrique,ecologie,augmentation tarif autoroutier vehiculer polluant exemple suv non electrique
150,151,4⃣Transports | Interdiction de vente des véhicules thermiques à l’horizon 2030.→ Cette mesure sera accompagnée du doublement du bonus écologique pour les familles les plus modestes.,ecologie,transport interdiction venter vehiculer thermique horizon mesurer accompagne doublement bonus ecologique famille modeste
152,153,2⃣Créons la protection sociale alimentaire des Françaises et des Français les plus modestes avec un chèque de 150 euros par mois pour une alimentation saine.Objectif ?→ Une alimentation plus saine et de qualité pour toutes et tous.,securite,creer protection social alimentaire francais francais modeste cheque euro mois alimentation sain objectif alimentation sain qualite
153,154,1️⃣Logements : prise en charge à hauteur de 80 % de la rénovation globale des « passoires thermiques »,pouvoir_achat,logement priser charger hauteur renovation global passoire thermique
154,155,"#Écologie | 10 engagements de mon programme pour lutter contre le réchauffement climatique et préserver la biodiversité, tout en favorisant la justice sociale.Déroulez ↓ ↓Toutes mes propositions : https://t.co/xZADsgPRDW#avectaubira ☀️ https://t.co/lUbw4VCurM",ecologie,ecologie engagement programmer lutter contrer rechauffement climatique preserver biodiversite favoriser justice social derouler proposition
156,157,Les paroles de haine qui circulent avec aisance dans le pays sont insupportables. Nous devons apporter un discours de rassemblement pas de division.,democratie,parole haine circuler aisance pays insupportable devon apporter discours rassemblement division
158,159,"La #Biodiversité est l’autre grand défi de la transition. Le choc climatique aggrave la dégradation de la biodiversité. Mais en retour, l’effondrement de la biodiversité et la déforestation aggravent le réchauffement. https://t.co/s8oRaXbP1g",ecologie,biodiversite grand defi transition choc climatique aggraver degradation biodiversite effondrement biodiversite deforestation aggraver rechauffement
159,160,"Les émissions baissent en France, seulement si l’on ne prend pas en compte nos émissions importées. C’est une façon de nous délester de nos propres responsabilités ! https://t.co/T1MP4G785Z",ecologie,emission baisser france prendre compter emission delester propre responsabilite
160,161,"Qui sont les principaux pollueurs ? Sur la planète, la moitié des plus pauvres sont responsables de 10% des émissions de CO2 quand 50% des émissions mondiales sont la responsabilité des 10% les plus riches. https://t.co/rE1ueYBnqI",ecologie,principal pollueur planete moitie pauvre responsable emission co emission mondial responsabilite riche
161,162,"Cette #TransitionÉcologique n’est pas incompatible avec une politique de justice sociale et de lutte contre les inégalités, au contraire. https://t.co/QUVfhiWTG6",democratie,transitionecologique incompatible politique justice social lutter contrer inegalite contraire
162,163,"Aujourd’hui je veux poursuivre la présentation des grands axes de mon projet entamée lors de ma déclaration à Lyon mi-janvier, avec la transition écologique et solidaire. #AvecTaubira",ecologie,vouloir poursuivre presentation grand axe projet entamer declaration lyon mi janvier transition ecologique solidaire
